"Timestamp","Select only the cat in this Google Form","I agree to participate in this research","Please confirm that you satisfy all the inclusion criteria by selecting the checkboxes that apply to you","Age","Gender","William M does work in a zoo follows from the revision of K with the new information that William M does work with animals.","K includes not only the beliefs contained in it, but also the consequences which follow from K. ","The result of revising K with the new information that Zeeta M is a classical pianist, also contains the information which follows from the result of revising K with the new information that Zeeta M is a classical pianist.","Jacob B does drive at night follows from revising K with the the new information that Jacob B is a truck driver.","Jacob B does drive at night follows from expanding K with the new information that Jacob B is a truck driver.","K is satisfiable with respect to the new information that Jessica B is a yoga instructor.","Jessica B does teach breathing exercises follows from the expansion of K with the the new information that Jessica B is a yoga instructor.","Jessica B does teach breathing exercises follows from the revision of K with the the new information that Jessica B is a yoga instructor.","The new information that Chris P is waiter is contained in the revision of K with the new information that Chris P is a waiter.","I confirm that I have noted the above verification code for submission on Mechanical Turk.","Please type your Mechanical Turk WorkerID in the space below.","Would you be interested in taking part 2 of this survey?  ","Finally, any thoughts you wish to add about your experience participating in this survey?"
"2021/04/01 2:11:17 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","32","Male","9","8","8","8","8","6","7","7","7","Yes","A2P8V5SKYLL5I4","Yes","It's quite better than average hit"
"2021/04/01 2:14:33 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","33","Female","10","9","6","10","10","8","10","9","10","Yes","AWKJJC3QFU9VW","Yes",""
"2021/04/01 2:15:52 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","60","Female","9","7","8","9","9","9","8","7","9","Yes","A3HOBJ4PJUOCUN","Yes","this was confusing for me, although I tried my best"
"2021/04/01 2:16:18 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","41","Male","9","8","8","6","6","5","7","8","8","Yes","A3JC9VPPTHNKVL","Yes",""
"2021/04/01 2:16:44 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","64","Female","10","4","9","9","10","8","9","10","9","Yes","A308FEI88TJ8WV","Yes","no problems"
"2021/04/01 2:21:02 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","42","Male","9","8","9","7","6","2","8","8","2","Yes","A2VRDE2FHCBMF8","Yes","Thank you very much for this HIT, and best of luck with your research!"
"2021/04/01 2:23:14 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","45","Female","10","6","10","7","9","10","10","10","10","Yes","A1JJYY622DGE5L","Yes","It was kind of tough."
"2021/04/01 2:29:54 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","29","Male","6","8","4","6","8","4","9","7","10","Yes","A1G187YBG0DVMQ","Yes",""
"2021/04/01 2:30:13 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","41","Male","8","2","6","10","10","8","10","10","5","Yes","AJM4334V07JDQ","Yes","Hope I did well. Thank you!"
"2021/04/01 2:31:16 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","30","Female","8","8","9","9","9","8","9","7","7","Yes","A7204W9E8IR1R","Yes",""
"2021/04/01 2:32:25 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","36","Female","9","8","6","7","9","8","6","9","10","Yes","APPOO1EBDMS7M","Yes","ALL ARE GOOD EXPERIENCE"
"2021/04/01 2:37:39 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","30","Male","10","9","8","10","10","7","10","10","8","Yes","AGC307XG0RIR4","Yes","N/A"
"2021/04/01 2:44:33 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","30","Male","6","3","8","7","7","8","8","7","5","Yes","A1NZFJHVJ9CNTO","Yes",""
"2021/04/01 2:46:47 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","41","Female","10","9","8","9","9","8","9","9","8","Yes","A3FOKP72T5I4FR","Yes",""
"2021/04/01 2:52:07 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","22","Female","5","10","6","1","8","10","1","2","10","Yes","A34CPKFZXBX1PO","Yes","this was extremely confusing."
"2021/04/01 3:16:29 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","29","Male","10","8","8","5","8","9","8","5","5","Yes","A122LRCSBAD6DC","Yes",""
"2021/04/01 3:18:11 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","62","Male","10","8","10","10","10","10","10","10","7","Yes","A18SXC3JEN1O0U","Yes",""
"2021/04/01 3:22:47 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","74","Female","10","10","9","10","10","8","10","10","7","Yes","AW0K78T4I2T72","Yes","This seems highly subjective. To my way of thinking, just about everything can be made to appear plausible if you arrange your thinking to accommodate the implausible."
