consent,captcha_code,language_question,rank_statement_25,explanation_statement_25,rank_statement_26,explanation_statement_26,rank_statement_27,explanation_statement_27,rank_statement_28,explanation_statement_28,rank_statement_29,explanation_statement_29,rank_statement_30,explanation_statement_30,mturk_ID_consent,feedback,year,month,day,hour,minute,second
Yes,3OUM8L,fragile,neutral,I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.,neutral,I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,neutral,I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,neutral,I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,neutral,I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,neutral,I do not endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.,Yes,No.,2020,11,25,15,54,54
Yes,8WRXAJ,fragile,neutral,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,strongly agree,I do not endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.,neutral,I do not endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,agree,I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.,agree,I do not endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do not endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.,Yes,NICE,2020,11,25,16,14,55
Yes,G8SHLV,fragile,strongly agree,I do not endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.,agree,I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.,strongly agree,I do not endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.,agree,I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.,agree,I do not endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.,Yes,NA,2020,11,25,16,5,32
Yes,50AKDS,fragile,strongly agree,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,disagree,I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,disagree,I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,disagree,I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,agree,I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,Kind of weird wording and weird attention checks.,2020,11,25,15,47,33
Yes,L0CEY,fragile,strongly agree,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,strongly disagree,I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,disagree,I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,agree,I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.,agree,I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.,agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,"I enjoyed taking this, though, some of the words I have not heard of before.",2020,11,25,15,56,11
Yes,I9PSB,fragile,neutral,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,disagree,I do not endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,agree,I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,agree,I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,disagree,I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,NA,2020,11,25,15,53,26
Yes,VFUIO,fragile,strongly disagree,I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.,strongly disagree,I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,strongly disagree,I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,strongly disagree,I do not endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,disagree,I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,NA,2020,11,25,15,59,14
Yes,JBJXZG,fragile,strongly agree,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,strongly agree,I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,neutral,I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.;I do not endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,strongly agree,I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.;I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;I do not endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,strongly agree,I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.;I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.,Yes,the survey is general statements of the world is very importion,2020,11,25,16,57,28
Yes,INT80C,fragile,strongly agree,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,strongly disagree,I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,disagree,I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,disagree,I do not endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,neutral,I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,no,2020,11,25,16,30,31
Yes,AF3BB,fragile,neutral,I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.,strongly disagree,I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,neutral,I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,neutral,I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,disagree,I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,No final thoughts,2020,11,25,16,53,44
