consent,captcha_code,language_question,rank_statement_13,explanation_statement_13,rank_statement_14,explanation_statement_14,rank_statement_15,explanation_statement_15,rank_statement_16,explanation_statement_16,rank_statement_17,explanation_statement_17,rank_statement_18,explanation_statement_18,mturk_ID_consent,feedback,year,month,day,hour,minute,second
Yes,CJX0A6,fair,agree,I do endorse the statement that Eddie T is a school principal. I do endorse the statement Eddie T does make long speeches.,agree,I do not endorse the statement that Anita J is a female. I do endorse the statement that Anita J is a feminist.,agree,I do endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.,strongly agree,I do not endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.;I do not endorse the statement that Wilma D is a car owner. I do not endorse the statement that Wilma D does pay car insurance.,strongly agree,I do not endorse the statement that Phillip P is a police officer. I do not endorse the statement that Phillip P can arrest a criminal.,agree,I do endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.,Yes,No,2020,11,24,19,41,7
Yes,CJX0A6,fair,agree,I do endorse the statement that Eddie T is a school principal. I do endorse the statement Eddie T does make long speeches.,agree,I do not endorse the statement that Anita J is a female. I do endorse the statement that Anita J is a feminist.,agree,I do endorse the statement that John T is a farmer. I do not endorse the statement that John T does cultivate crops.,agree,I do endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.,agree,I do not endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.,agree,I do endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.,Yes,interesting,2020,11,24,21,25,5
Yes,CJX0A6,fair,neutral,Eddie T may or may not be a school principal and may or may not be making long speeches.,neutral,I do not endorse the statement that Anita J is a female. I do not endorse the statement that Anita J is a feminist.,agree,I do endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.,neutral,I do endorse the statement that Wilma D is a car owner. I do not endorse the statement that Wilma D does pay car insurance.,strongly agree,I do endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.,strongly agree,I do endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.,Yes,NA,2020,11,24,19,13,19
Yes,CJX0A6,fair,agree,I do endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.;I do not endorse the statement that Eddie T is a school principal. I do endorse the statement Eddie T does make long speeches.,disagree,I do endorse the statement that Anita J is a female. I do endorse the statement that Anita J is a feminist.;I do endorse the statement that Anita J is a female. I do not endorse the statement that Anita J is a feminist.,strongly agree,I do endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.,agree,I do endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.;I do endorse the statement that Wilma D is a car owner. I do not endorse the statement that Wilma D does pay car insurance.,strongly agree,I do endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.,strongly agree,I do endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.,Yes,"It was very easy and very simply and made sense, just perhaps a bit strange in some ways, just the explanation parts really.",2020,11,24,19,15,59
Yes,CJX0A6,fair,disagree,I do endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.,disagree,I do endorse the statement that Anita J is a female. I do not endorse the statement that Anita J is a feminist.,strongly agree,I do endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.,strongly agree,I do endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.,strongly agree,I do endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.,strongly agree,I do endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.,Yes,This was fun!,2020,11,24,18,41,9
Yes,CJX0A6,fair,strongly disagree,I do endorse the statement that Eddie T is a school principal. I do endorse the statement Eddie T does make long speeches.,neutral,I do endorse the statement that Anita J is a female. I do not endorse the statement that Anita J is a feminist.,agree,I do endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.,strongly agree,I do not endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.,strongly agree,I do endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.,neutral,I do endorse the statement that Constance Y works in an office with two windows. I do not endorse the statement that Constance Y works in an office with two windows.,Yes,The survey was great,2020,11,24,19,44,49
Yes,CJX0A6,fair,neutral,I do endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.;I do not endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.,strongly agree,I do endorse the statement that Anita J is a female. I do endorse the statement that Anita J is a feminist.;I do not endorse the statement that Anita J is a female. I do endorse the statement that Anita J is a feminist.,neutral,I do endorse the statement that John T is a farmer. I do not endorse the statement that John T does cultivate crops.,strongly agree,I do endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.;I do not endorse the statement that Wilma D is a car owner. I do not endorse the statement that Wilma D does pay car insurance.,disagree,I do endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.;I do not endorse the statement that Phillip P is a police officer. I do not endorse the statement that Phillip P can arrest a criminal.,strongly agree,I do endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.;I do endorse the statement that Constance Y works in an office with two windows. I do not endorse the statement that Constance Y works in an office with two windows.;I do not endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.Option 3,Yes,I am like for this study and my answer very honest for all question thank you so much.,2020,11,24,19,3,5
Yes,CJX0A6,fair,neutral,I do not endorse the statement that Eddie T is a school principal. I do endorse the statement Eddie T does make long speeches.,agree,I do not endorse the statement that Anita J is a female. I do not endorse the statement that Anita J is a feminist.,neutral,I do endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.,agree,I do endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.,agree,I do endorse the statement that Phillip P is a police officer. I do not endorse the statement that Phillip P can arrest a criminal.,agree,I do endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.,Yes,NA,2020,11,24,19,21,56
Yes,CJX0A6,fair,neutral,I do endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.,disagree,I do not endorse the statement that Anita J is a female. I do endorse the statement that Anita J is a feminist.,neutral,I do not endorse the statement that John T is a farmer. I do not endorse the statement that John T does cultivate crops.,agree,I do not endorse the statement that Wilma D is a car owner. I do not endorse the statement that Wilma D does pay car insurance.,agree,I do endorse the statement that Phillip P is a police officer. I do not endorse the statement that Phillip P can arrest a criminal.,neutral,I do not endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.Option 3,Yes,NA,2020,11,24,19,4,18
Yes,CJX0A6,fair,strongly disagree,I do not endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.,disagree,I do endorse the statement that Anita J is a female. I do not endorse the statement that Anita J is a feminist.,strongly agree,I do endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.,strongly disagree,I do endorse the statement that Wilma D is a car owner. I do not endorse the statement that Wilma D does pay car insurance.,strongly agree,I do endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.,strongly agree,I do endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.,Yes,No,2020,11,24,18,42,50
