consent,captcha_code,language_question,rank_statement_1,explanation_statement_1,rank_statement_2,explanation_statement_2,rank_statement_3,explanation_statement_3,rank_statement_4,explanation_statement_4,rank_statement_5,explanation_statement_5,rank_statement_6,explanation_statement_6,mturk_ID_consent,feedback,year,month,day,hour,minute,second
Yes,WUDMBC,tangled,neutral,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,neutral,I do endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.,neutral,I do not endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,neutral,I do endorse the statement that Amy W is a lawyer. I do not endorse the statement that Amy W does wear a suit to work.,agree,I do not endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,disagree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,none,2020,11,23,14,5,53
Yes,S3FGED,tangled,agree,I do endorse the statement that Damian S is an aeroplane pilot. I do not endorse the statement that Damian S has visited different countries.,disagree,I do endorse the statement that Rochelle P is a ballerina. I do not endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,strongly agree,I do endorse the statement that Amy W is a lawyer. I do not endorse the statement that Amy W does wear a suit to work.,agree,I do endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.;I do endorse the statement that Mark M is a science professor. I do not endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,Everything went well.,2020,11,23,20,28,49
Yes,A9L67Q,tangled,strongly agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,strongly agree,I do endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,strongly agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.,disagree,I do endorse the statement that Mark M is a science professor. I do not endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,NA,2020,11,23,14,19,11
Yes,AI3K2O,tangled,agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,agree,I do not endorse the statement that Rochelle P is a ballerina. I do not endorse the statement that Rochelle P does listen to classical music.,neutral,I do not endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.;I do not endorse the statement that Rochelle P is a ballerina. I do not endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.;I do not endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.,agree,I do endorse the statement that Mark M is a science professor. I do not endorse that Mark M does enjoy solving problems.;I do not endorse the statement that Mark M is a science professor. I do not endorse that Mark M does enjoy solving problems.,agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.;I do endorse the statement that Zeeta M is a classical pianist. I do not endorse the statement that Zeeta M is a classical pianist.,Yes,NICE SURVEY,2020,11,23,19,8,22
Yes,Y8VTY4,tangled,strongly disagree,I do endorse the statement that Damian S is an aeroplane pilot. I do not endorse the statement that Damian S has visited different countries.,disagree,I do not endorse the statement that Rochelle P is a ballerina. I do not endorse the statement that Rochelle P does listen to classical music.,strongly disagree,I do endorse the statement that Jacob B is a truck driver. I do not endorse the statement that Jacob B does drive at night.,disagree,I do endorse the statement that Amy W is a lawyer. I do not endorse the statement that Amy W does wear a suit to work.,disagree,I do endorse the statement that Mark M is a science professor. I do not endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,interesting survey,2020,11,23,15,39,39
Yes,7UA2FW,tangled,agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,strongly agree,I do endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.,disagree,I do endorse the statement that Jacob B is a truck driver. I do not endorse the statement that Jacob B does drive at night.,strongly agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.,agree,I do not endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,No.,2020,11,23,11,26,16
Yes,256J1,tangled,agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,agree,I do endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,agree,I do endorse the statement that Amy W is a lawyer. I do not endorse the statement that Amy W does wear a suit to work.,agree,I do endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,good,2020,11,23,20,20,49
Yes,IIZB96,tangled,strongly disagree,I do endorse the statement that Damian S is an aeroplane pilot. I do not endorse the statement that Damian S has visited different countries.;Not all pilots fly internationally,disagree,I do endorse the statement that Rochelle P is a ballerina. I do not endorse the statement that Rochelle P does listen to classical music.,strongly disagree,I do endorse the statement that Jacob B is a truck driver. I do not endorse the statement that Jacob B does drive at night.,agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.;It's also possible that she's just a really bad lawyer and *doesn't* wear a suit but I'm going with chances are she wears one.,strongly agree,I do endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.;Wut? Is this an attention check or a mistake on your part?,Yes,Not sure if the final question was mistyped or what since it just repeated itself.,2020,11,23,9,53,31
Yes,A5KI8,tangled,strongly agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,agree,I do not endorse the statement that Rochelle P is a ballerina. I do not endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.,agree,I do not endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,agree,I do not endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,None,2020,11,23,10,49,21
Yes,JCSHI,tangled,strongly agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,strongly agree,I do endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do not endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,strongly agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.,neutral,I do endorse the statement that Mark M is a science professor. I do not endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement Zeeta M is a classical pianist.I do endorse the statement Zeeta M is a classical pianist.,Yes,GOOD,2020,11,23,15,18,43
Yes,G084PJ,tangled,agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,disagree,I do not endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,strongly agree,I do endorse the statement that Amy W is a lawyer. I do not endorse the statement that Amy W does wear a suit to work.,agree,I do not endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,Good,2020,11,23,12,59,35
Yes,7P2BS8,tangled,strongly disagree,I do endorse the statement that Damian S is an aeroplane pilot. I do not endorse the statement that Damian S has visited different countries.,strongly agree,I do endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.,strongly disagree,I do endorse the statement that Jacob B is a truck driver. I do not endorse the statement that Jacob B does drive at night.,disagree,I do endorse the statement that Amy W is a lawyer. I do not endorse the statement that Amy W does wear a suit to work.,agree,I do endorse the statement that Mark M is a science professor. I do not endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,I find this type of survey interesting.  Curious.,2020,11,23,16,5,33
Yes,ZBU6EW,tangled,agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,neutral,I do endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.,disagree,I do endorse the statement that Mark M is a science professor. I do not endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,"no technical issues, it ran smoothly",2020,11,23,20,22,15
Yes,TBOE1,tangled,disagree,I do endorse the statement that Damian S is an aeroplane pilot. I do not endorse the statement that Damian S has visited different countries.,disagree,I do endorse the statement that Rochelle P is a ballerina. I do not endorse the statement that Rochelle P does listen to classical music.,disagree,I do endorse the statement that Jacob B is a truck driver. I do not endorse the statement that Jacob B does drive at night.,disagree,I do endorse the statement that Amy W is a lawyer. I do not endorse the statement that Amy W does wear a suit to work.,disagree,I do endorse the statement that Mark M is a science professor. I do not endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,"The first statements don't necessitate the following statements, hopefully that's what you were asking us",2020,11,23,19,52,16
Yes,HY38H5,tangled,strongly disagree,I do endorse the statement that Damian S is an aeroplane pilot. I do not endorse the statement that Damian S has visited different countries.,agree,I do endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.,agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,strongly agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.,strongly agree,I do endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,very easy and well paid :),2020,11,23,21,33,36
Yes,T8B7QD,tangled,strongly agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,strongly agree,I do endorse the statement that Rochelle P is a ballerina. I do not endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do not endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,strongly agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.,neutral,I do endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,Nice task and thanks for the opportunity,2020,11,23,19,24,18
