consent,captcha_code,language_question,rank_statement_7,explanation_statement_7,rank_statement_8,explanation_statement_8,rank_statement_9,explanation_statement_9,rank_statement_10,explanation_statement_10,rank_statement_11,explanation_statement_11,rank_statement_12,explanation_statement_12,mturk_ID_consent,feedback,year,month,day,hour,minute,second
Yes,CJX0A6,giggle,agree,I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.,agree,I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.,agree,I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.,agree,I do not endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.,agree,I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.,agree,I do endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.,Yes,good,2020,11,24,11,48,13
Yes,CJX0A6,giggle,disagree,I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.,strongly disagree,I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.,disagree,I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.,strongly disagree,I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.,strongly disagree,I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.,strongly agree,I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.,Yes,These seemed like logic questions but I couldn't remember the rules from college.,2020,11,24,17,23,7
Yes,CJX0A6,giggle,neutral,I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.,disagree,I do not endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.,strongly agree,I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.,strongly agree,I do not endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.,strongly agree,I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.,strongly agree,I do endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.,Yes,"NA",2020,11,24,17,22,0
Yes,CJX0A6,giggle,disagree,I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.,strongly disagree,I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.,neutral,I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.,strongly disagree,I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.,disagree,I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.,strongly agree,I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.,Yes,Thank you!,2020,11,24,17,46,6
Yes,CJX0A6,giggle,agree,I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.,agree,I do endorse the statement that Liam F is a computer science student. I do endorse the statement that Liam F is a hacker.,strongly agree,I do not endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.,agree,I do not endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.,agree,I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.,agree,I do not endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.,Yes,good survey,2020,11,24,13,49,24
Yes,CJX0A6,giggle,strongly agree,I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.,strongly disagree,I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.,disagree,I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.,disagree,I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.,strongly disagree,I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.,strongly agree,I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.,Yes,This was fun and short. Thank you for a nice experiment and the pay.,2020,11,24,18,4,59
Yes,CJX0A6,giggle,agree,I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.,strongly disagree,I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.,agree,I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.,disagree,I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.,disagree,I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.,strongly agree,I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.,Yes,n/a,2020,11,24,17,16,36
Yes,CJX0A6,giggle,agree,I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.,strongly agree,I do endorse the statement that Liam F is a computer science student. I do endorse the statement that Liam F is a hacker.,neutral,I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.,neutral,I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.,neutral,I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.,neutral,I do endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.,Yes,NICE QUESTIONS,2020,11,24,17,13,14
Yes,CJX0A6,giggle,agree,I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.,strongly disagree,I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.,agree,I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.,strongly disagree,I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.,agree,I do endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.,strongly agree,I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.,Yes,Nope,2020,11,24,13,45,42
Yes,CJX0A6,giggle,agree,I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.,agree,I do not endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.,agree,I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;I do not endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.,agree,I do not endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.,disagree,I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.,agree,I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.,Yes,its really good,2020,11,24,13,0,29
